Date : 2026-05-29 22:05:09
Directory : /Users/constantine/Documents/work/code/projects/ZhiYu
Total : 752 files,  73889 codes, 16268 comments, 15076 blanks, all 105233 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Swift              |        590 |     55,549 |     15,678 |     10,611 |     81,838 |
| Markdown           |         84 |      8,305 |          0 |      2,541 |     10,846 |
| C++                |         23 |      3,918 |        203 |      1,042 |      5,163 |
| JavaScript         |          3 |      2,987 |         47 |        339 |      3,373 |
| Python             |         21 |      1,974 |        234 |        397 |      2,605 |
| JSON               |         17 |        431 |          0 |         14 |        445 |
| YAML               |          4 |        375 |         23 |         45 |        443 |
| Shell Script       |          4 |        208 |         83 |         67 |        358 |
| TypeScript         |          1 |         97 |          0 |         16 |        113 |
| XML                |          4 |         38 |          0 |          4 |         42 |
| JSON with Comments |          1 |          7 |          0 |          0 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                     |        752 |     73,889 |     16,268 |     15,076 |    105,233 |
| . (Files)                                                                                                                                                             |          8 |        668 |          9 |        141 |        818 |
| .claude                                                                                                                                                               |          1 |         73 |          0 |          1 |         74 |
| .github                                                                                                                                                               |          1 |         35 |         14 |         13 |         62 |
| .github/workflows                                                                                                                                                     |          1 |         35 |         14 |         13 |         62 |
| .workbuddy                                                                                                                                                            |          6 |        250 |          0 |         61 |        311 |
| .workbuddy/memory                                                                                                                                                     |          6 |        250 |          0 |         61 |        311 |
| Configs                                                                                                                                                               |          3 |         57 |          0 |          2 |         59 |
| Docs                                                                                                                                                                  |         72 |      7,638 |          0 |      2,314 |      9,952 |
| Docs (Files)                                                                                                                                                          |          6 |        362 |          0 |        140 |        502 |
| Docs/Architecture                                                                                                                                                     |          5 |      1,046 |          0 |        253 |      1,299 |
| Docs/Design                                                                                                                                                           |         10 |      1,076 |          0 |        350 |      1,426 |
| Docs/Requirements                                                                                                                                                     |          5 |        464 |          0 |        143 |        607 |
| Docs/Testing                                                                                                                                                          |         10 |      1,156 |          0 |        345 |      1,501 |
| Docs/guides                                                                                                                                                           |          4 |        369 |          0 |        141 |        510 |
| Docs/superpowers                                                                                                                                                      |         32 |      3,165 |          0 |        942 |      4,107 |
| Docs/superpowers (Files)                                                                                                                                              |          2 |         95 |          0 |         32 |        127 |
| Docs/superpowers/plans                                                                                                                                                |         23 |      2,408 |          0 |        763 |      3,171 |
| Docs/superpowers/specs                                                                                                                                                |          7 |        662 |          0 |        147 |        809 |
| Frameworks                                                                                                                                                            |         22 |      3,916 |        198 |      1,040 |      5,154 |
| Frameworks/ATAuthSDK_D.xcframework                                                                                                                                    |         14 |      1,308 |        146 |        256 |      1,710 |
| Frameworks/ATAuthSDK_D.xcframework/ios-arm64                                                                                                                          |          7 |        654 |         73 |        128 |        855 |
| Frameworks/ATAuthSDK_D.xcframework/ios-arm64/ATAuthSDK_D.framework                                                                                                    |          7 |        654 |         73 |        128 |        855 |
| Frameworks/ATAuthSDK_D.xcframework/ios-arm64/ATAuthSDK_D.framework/Headers                                                                                            |          7 |        654 |         73 |        128 |        855 |
| Frameworks/ATAuthSDK_D.xcframework/ios-arm64_x86_64-simulator                                                                                                         |          7 |        654 |         73 |        128 |        855 |
| Frameworks/ATAuthSDK_D.xcframework/ios-arm64_x86_64-simulator/ATAuthSDK_D.framework                                                                                   |          7 |        654 |         73 |        128 |        855 |
| Frameworks/ATAuthSDK_D.xcframework/ios-arm64_x86_64-simulator/ATAuthSDK_D.framework/Headers                                                                           |          7 |        654 |         73 |        128 |        855 |
| Frameworks/WechatOpenSDK.xcframework                                                                                                                                  |          8 |      2,608 |         52 |        784 |      3,444 |
| Frameworks/WechatOpenSDK.xcframework/ios-arm64                                                                                                                        |          4 |      1,304 |         26 |        392 |      1,722 |
| Frameworks/WechatOpenSDK.xcframework/ios-arm64/WechatOpenSDK.framework                                                                                                |          4 |      1,304 |         26 |        392 |      1,722 |
| Frameworks/WechatOpenSDK.xcframework/ios-arm64/WechatOpenSDK.framework/Headers                                                                                        |          4 |      1,304 |         26 |        392 |      1,722 |
| Frameworks/WechatOpenSDK.xcframework/ios-arm64_x86_64-simulator                                                                                                       |          4 |      1,304 |         26 |        392 |      1,722 |
| Frameworks/WechatOpenSDK.xcframework/ios-arm64_x86_64-simulator/WechatOpenSDK.framework                                                                               |          4 |      1,304 |         26 |        392 |      1,722 |
| Frameworks/WechatOpenSDK.xcframework/ios-arm64_x86_64-simulator/WechatOpenSDK.framework/Headers                                                                       |          4 |      1,304 |         26 |        392 |      1,722 |
| Sources                                                                                                                                                               |        526 |     49,232 |     13,055 |      8,500 |     70,787 |
| Sources (Files)                                                                                                                                                       |          1 |          2 |          5 |          2 |          9 |
| Sources/App                                                                                                                                                           |         21 |      2,724 |        658 |        481 |      3,863 |
| Sources/App (Files)                                                                                                                                                   |         13 |      1,441 |        379 |        267 |      2,087 |
| Sources/App/Environment                                                                                                                                               |          3 |         85 |         36 |         31 |        152 |
| Sources/App/Store                                                                                                                                                     |          2 |        377 |        144 |         79 |        600 |
| Sources/App/Views                                                                                                                                                     |          3 |        821 |         99 |        104 |      1,024 |
| Sources/Assets.xcassets                                                                                                                                               |         11 |        167 |          0 |         10 |        177 |
| Sources/Assets.xcassets (Files)                                                                                                                                       |          1 |          6 |          0 |          1 |          7 |
| Sources/Assets.xcassets/AccentColor.colorset                                                                                                                          |          1 |         38 |          0 |          1 |         39 |
| Sources/Assets.xcassets/AppIcon-Watch.appiconset                                                                                                                      |          1 |         14 |          0 |          1 |         15 |
| Sources/Assets.xcassets/AppIcon-iOS.appiconset                                                                                                                        |          1 |         14 |          0 |          1 |         15 |
| Sources/Assets.xcassets/GithubLogo.imageset                                                                                                                           |          2 |         18 |          0 |          2 |         20 |
| Sources/Assets.xcassets/GoogleLogo.imageset                                                                                                                           |          2 |         21 |          0 |          2 |         23 |
| Sources/Assets.xcassets/LaunchBackground.colorset                                                                                                                     |          1 |         38 |          0 |          0 |         38 |
| Sources/Assets.xcassets/WechatLogo.imageset                                                                                                                           |          2 |         18 |          0 |          2 |         20 |
| Sources/Base.lproj                                                                                                                                                    |          1 |         26 |          0 |          1 |         27 |
| Sources/Core                                                                                                                                                          |         66 |      2,466 |      1,735 |        691 |      4,892 |
| Sources/Core/Base                                                                                                                                                     |         45 |      1,248 |      1,192 |        434 |      2,874 |
| Sources/Core/Base (Files)                                                                                                                                             |          1 |         81 |         32 |         25 |        138 |
| Sources/Core/Base/Constants                                                                                                                                           |          4 |        266 |        127 |         47 |        440 |
| Sources/Core/Base/Extensions                                                                                                                                          |          2 |         47 |         29 |         13 |         89 |
| Sources/Core/Base/Protocols                                                                                                                                           |         27 |        512 |        762 |        238 |      1,512 |
| Sources/Core/Base/Stubs                                                                                                                                               |          7 |         61 |        117 |         33 |        211 |
| Sources/Core/Base/Utils                                                                                                                                               |          4 |        281 |        125 |         78 |        484 |
| Sources/Core/System                                                                                                                                                   |         21 |      1,218 |        543 |        257 |      2,018 |
| Sources/Core/System/Accessibility                                                                                                                                     |          1 |         30 |         24 |          6 |         60 |
| Sources/Core/System/Analytics                                                                                                                                         |          1 |         41 |         20 |         12 |         73 |
| Sources/Core/System/Events                                                                                                                                            |          1 |         30 |         14 |          7 |         51 |
| Sources/Core/System/Haptic                                                                                                                                            |          4 |         75 |         51 |         14 |        140 |
| Sources/Core/System/Logger                                                                                                                                            |          1 |        235 |        101 |         52 |        388 |
| Sources/Core/System/Notifications                                                                                                                                     |          1 |          9 |         10 |          2 |         21 |
| Sources/Core/System/Onboarding                                                                                                                                        |          1 |         64 |         19 |         16 |         99 |
| Sources/Core/System/Performance                                                                                                                                       |          1 |        114 |         33 |         17 |        164 |
| Sources/Core/System/Routing                                                                                                                                           |          2 |         86 |         44 |         20 |        150 |
| Sources/Core/System/Security                                                                                                                                          |          6 |        430 |        188 |         93 |        711 |
| Sources/Core/System/Shortcuts                                                                                                                                         |          1 |         35 |         16 |          4 |         55 |
| Sources/Core/System/Workflow                                                                                                                                          |          1 |         69 |         23 |         14 |        106 |
| Sources/Domain                                                                                                                                                        |         42 |      1,643 |        950 |        481 |      3,074 |
| Sources/Domain/Knowledge                                                                                                                                              |          2 |        177 |         67 |         49 |        293 |
| Sources/Domain/Models                                                                                                                                                 |         15 |        645 |        282 |        151 |      1,078 |
| Sources/Domain/Protocols                                                                                                                                              |         16 |        166 |        343 |        124 |        633 |
| Sources/Domain/RAG                                                                                                                                                    |          7 |        568 |        193 |        124 |        885 |
| Sources/Domain/Services                                                                                                                                               |          2 |         87 |         65 |         33 |        185 |
| Sources/Features                                                                                                                                                      |        132 |     20,506 |      3,196 |      2,781 |     26,483 |
| Sources/Features/AI                                                                                                                                                   |         22 |      3,783 |        531 |        497 |      4,811 |
| Sources/Features/AI (Files)                                                                                                                                           |          1 |         20 |         13 |          4 |         37 |
| Sources/Features/AI/Chat                                                                                                                                              |          8 |      1,202 |        209 |        185 |      1,596 |
| Sources/Features/AI/Chat/Coordinator                                                                                                                                  |          1 |        136 |         38 |         29 |        203 |
| Sources/Features/AI/Chat/Model                                                                                                                                        |          2 |        255 |         60 |         59 |        374 |
| Sources/Features/AI/Chat/Service                                                                                                                                      |          1 |         27 |         21 |         10 |         58 |
| Sources/Features/AI/Chat/View                                                                                                                                         |          4 |        784 |         90 |         87 |        961 |
| Sources/Features/AI/Chat/View (Files)                                                                                                                                 |          2 |        365 |         40 |         38 |        443 |
| Sources/Features/AI/Chat/View/Components                                                                                                                              |          2 |        419 |         50 |         49 |        518 |
| Sources/Features/AI/Quiz                                                                                                                                              |          2 |        268 |         43 |         30 |        341 |
| Sources/Features/AI/Quiz/View                                                                                                                                         |          2 |        268 |         43 |         30 |        341 |
| Sources/Features/AI/Synthesis                                                                                                                                         |          7 |      1,310 |        170 |        161 |      1,641 |
| Sources/Features/AI/Synthesis/Model                                                                                                                                   |          1 |        258 |         35 |         33 |        326 |
| Sources/Features/AI/Synthesis/Service                                                                                                                                 |          1 |        154 |         36 |         34 |        224 |
| Sources/Features/AI/Synthesis/View                                                                                                                                    |          5 |        898 |         99 |         94 |      1,091 |
| Sources/Features/AI/Synthesis/View (Files)                                                                                                                            |          2 |        649 |         54 |         58 |        761 |
| Sources/Features/AI/Synthesis/View/Components                                                                                                                         |          3 |        249 |         45 |         36 |        330 |
| Sources/Features/AI/TaskCenter                                                                                                                                        |          2 |        588 |         61 |         69 |        718 |
| Sources/Features/AI/TaskCenter/Service                                                                                                                                |          1 |        189 |         43 |         31 |        263 |
| Sources/Features/AI/TaskCenter/View                                                                                                                                   |          1 |        399 |         18 |         38 |        455 |
| Sources/Features/AI/VoiceNote                                                                                                                                         |          2 |        395 |         35 |         48 |        478 |
| Sources/Features/AI/VoiceNote/View                                                                                                                                    |          2 |        395 |         35 |         48 |        478 |
| Sources/Features/AI/VoiceNote/View (Files)                                                                                                                            |          1 |        251 |         19 |         31 |        301 |
| Sources/Features/AI/VoiceNote/View/Components                                                                                                                         |          1 |        144 |         16 |         17 |        177 |
| Sources/Features/Insight                                                                                                                                              |         26 |      4,245 |        496 |        515 |      5,256 |
| Sources/Features/Insight (Files)                                                                                                                                      |          1 |         18 |         12 |          4 |         34 |
| Sources/Features/Insight/Dashboard                                                                                                                                    |         19 |      2,957 |        357 |        345 |      3,659 |
| Sources/Features/Insight/Dashboard/Coordinator                                                                                                                        |          3 |        233 |         67 |         47 |        347 |
| Sources/Features/Insight/Dashboard/Model                                                                                                                              |          1 |         12 |         11 |          3 |         26 |
| Sources/Features/Insight/Dashboard/Service                                                                                                                            |          1 |        123 |         18 |         24 |        165 |
| Sources/Features/Insight/Dashboard/View                                                                                                                               |         14 |      2,589 |        261 |        271 |      3,121 |
| Sources/Features/Insight/Dashboard/View (Files)                                                                                                                       |          6 |      1,687 |        131 |        179 |      1,997 |
| Sources/Features/Insight/Dashboard/View/Components                                                                                                                    |          2 |        324 |         35 |         32 |        391 |
| Sources/Features/Insight/Dashboard/View/Subviews                                                                                                                      |          6 |        578 |         95 |         60 |        733 |
| Sources/Features/Insight/Lint                                                                                                                                         |          2 |        689 |         60 |         91 |        840 |
| Sources/Features/Insight/Lint/Service                                                                                                                                 |          1 |        157 |         28 |         24 |        209 |
| Sources/Features/Insight/Lint/View                                                                                                                                    |          1 |        532 |         32 |         67 |        631 |
| Sources/Features/Insight/Log                                                                                                                                          |          1 |        297 |         22 |         30 |        349 |
| Sources/Features/Insight/Log/View                                                                                                                                     |          1 |        297 |         22 |         30 |        349 |
| Sources/Features/Insight/MedalWall                                                                                                                                    |          3 |        284 |         45 |         45 |        374 |
| Sources/Features/Insight/MedalWall/Service                                                                                                                            |          1 |         93 |         17 |         18 |        128 |
| Sources/Features/Insight/MedalWall/View                                                                                                                               |          2 |        191 |         28 |         27 |        246 |
| Sources/Features/Insight/MedalWall/View (Files)                                                                                                                       |          1 |         65 |         15 |         11 |         91 |
| Sources/Features/Insight/MedalWall/View/Components                                                                                                                    |          1 |        126 |         13 |         16 |        155 |
| Sources/Features/Knowledge                                                                                                                                            |         48 |      6,538 |      1,235 |        905 |      8,678 |
| Sources/Features/Knowledge (Files)                                                                                                                                    |          1 |         26 |         12 |          4 |         42 |
| Sources/Features/Knowledge/Graph                                                                                                                                      |         14 |      2,127 |        342 |        282 |      2,751 |
| Sources/Features/Knowledge/Graph/Model                                                                                                                                |          1 |         17 |         12 |          3 |         32 |
| Sources/Features/Knowledge/Graph/Service                                                                                                                              |          3 |        151 |         56 |         35 |        242 |
| Sources/Features/Knowledge/Graph/View                                                                                                                                 |          9 |      1,883 |        252 |        230 |      2,365 |
| Sources/Features/Knowledge/Graph/View (Files)                                                                                                                         |          3 |        846 |         56 |         89 |        991 |
| Sources/Features/Knowledge/Graph/View/Components                                                                                                                      |          6 |      1,037 |        196 |        141 |      1,374 |
| Sources/Features/Knowledge/Graph/ViewModel                                                                                                                            |          1 |         76 |         22 |         14 |        112 |
| Sources/Features/Knowledge/Ingest                                                                                                                                     |         12 |      2,358 |        323 |        281 |      2,962 |
| Sources/Features/Knowledge/Ingest/Coordinator                                                                                                                         |          1 |        124 |         20 |         15 |        159 |
| Sources/Features/Knowledge/Ingest/Model                                                                                                                               |          1 |        181 |         47 |         42 |        270 |
| Sources/Features/Knowledge/Ingest/Service                                                                                                                             |          2 |        237 |         75 |         45 |        357 |
| Sources/Features/Knowledge/Ingest/View                                                                                                                                |          8 |      1,816 |        181 |        179 |      2,176 |
| Sources/Features/Knowledge/Ingest/View (Files)                                                                                                                        |          5 |        736 |         66 |         67 |        869 |
| Sources/Features/Knowledge/Ingest/View/Components                                                                                                                     |          3 |      1,080 |        115 |        112 |      1,307 |
| Sources/Features/Knowledge/NotebookHub                                                                                                                                |         10 |        831 |        242 |        146 |      1,219 |
| Sources/Features/Knowledge/NotebookHub/Model                                                                                                                          |          2 |         54 |         43 |          9 |        106 |
| Sources/Features/Knowledge/NotebookHub/View                                                                                                                           |          7 |        652 |        150 |         99 |        901 |
| Sources/Features/Knowledge/NotebookHub/View (Files)                                                                                                                   |          2 |        226 |         39 |         33 |        298 |
| Sources/Features/Knowledge/NotebookHub/View/Components                                                                                                                |          5 |        426 |        111 |         66 |        603 |
| Sources/Features/Knowledge/NotebookHub/ViewModel                                                                                                                      |          1 |        125 |         49 |         38 |        212 |
| Sources/Features/Knowledge/Search                                                                                                                                     |          4 |        605 |         71 |         75 |        751 |
| Sources/Features/Knowledge/Search/Model                                                                                                                               |          2 |         93 |         25 |         19 |        137 |
| Sources/Features/Knowledge/Search/View                                                                                                                                |          2 |        512 |         46 |         56 |        614 |
| Sources/Features/Knowledge/SourceView                                                                                                                                 |          2 |        109 |         21 |         16 |        146 |
| Sources/Features/Knowledge/SourceView/View                                                                                                                            |          2 |        109 |         21 |         16 |        146 |
| Sources/Features/Knowledge/SourceView/View (Files)                                                                                                                    |          1 |         60 |         11 |          8 |         79 |
| Sources/Features/Knowledge/SourceView/View/Components                                                                                                                 |          1 |         49 |         10 |          8 |         67 |
| Sources/Features/Knowledge/System                                                                                                                                     |          3 |        252 |        109 |         67 |        428 |
| Sources/Features/Knowledge/System/Model                                                                                                                               |          3 |        252 |        109 |         67 |        428 |
| Sources/Features/Knowledge/Vault                                                                                                                                      |          2 |        230 |        115 |         34 |        379 |
| Sources/Features/Knowledge/Vault/Model                                                                                                                                |          1 |         37 |         12 |          4 |         53 |
| Sources/Features/Knowledge/Vault/Service                                                                                                                              |          1 |        193 |        103 |         30 |        326 |
| Sources/Features/System                                                                                                                                               |         36 |      5,940 |        934 |        864 |      7,738 |
| Sources/Features/System (Files)                                                                                                                                       |          1 |         20 |         12 |          4 |         36 |
| Sources/Features/System/Auth                                                                                                                                          |         10 |        960 |        238 |        208 |      1,406 |
| Sources/Features/System/Auth/Models                                                                                                                                   |          3 |        165 |         58 |         46 |        269 |
| Sources/Features/System/Auth/Service                                                                                                                                  |          1 |        229 |         54 |         44 |        327 |
| Sources/Features/System/Auth/Strategy                                                                                                                                 |          5 |        283 |        101 |         76 |        460 |
| Sources/Features/System/Auth/View                                                                                                                                     |          1 |        283 |         25 |         42 |        350 |
| Sources/Features/System/Collaboration                                                                                                                                 |          4 |        678 |        127 |         92 |        897 |
| Sources/Features/System/Collaboration/Model                                                                                                                           |          1 |         51 |         14 |         10 |         75 |
| Sources/Features/System/Collaboration/Service                                                                                                                         |          1 |        212 |         58 |         36 |        306 |
| Sources/Features/System/Collaboration/View                                                                                                                            |          2 |        415 |         55 |         46 |        516 |
| Sources/Features/System/Collaboration/View (Files)                                                                                                                    |          1 |        298 |         25 |         29 |        352 |
| Sources/Features/System/Collaboration/View/Components                                                                                                                 |          1 |        117 |         30 |         17 |        164 |
| Sources/Features/System/ModelManager                                                                                                                                  |          2 |        527 |        103 |         89 |        719 |
| Sources/Features/System/ModelManager (Files)                                                                                                                          |          1 |        154 |         58 |         43 |        255 |
| Sources/Features/System/ModelManager/View                                                                                                                             |          1 |        373 |         45 |         46 |        464 |
| Sources/Features/System/Settings                                                                                                                                      |         19 |      3,755 |        454 |        471 |      4,680 |
| Sources/Features/System/Settings/Coordinator                                                                                                                          |          1 |        165 |         24 |         27 |        216 |
| Sources/Features/System/Settings/Model                                                                                                                                |          2 |        109 |         30 |         19 |        158 |
