"filename", "language", "JSON", "C++", "Markdown", "Swift", "XML", "YAML", "JavaScript", "JSON with Comments", "Python", "Shell Script", "TypeScript", "comment", "blank", "total"
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/UITests/ZhiYuMonkeyTests.swift", "Swift", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 25, 19, 114
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/UITests/ZhiYuUITests.swift", "Swift", 0, 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 72, 50, 357
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/AI/AIContentEnricherTests.swift", "Swift", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 16, 24, 103
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/AI/ChunkingAlgorithmTests.swift", "Swift", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 50, 34, 168
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/AI/DeviceHardwareGuardTests.swift", "Swift", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 21, 25, 121
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/AI/EmbeddingManagerTests.swift", "Swift", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 34, 33, 186
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/AI/LLMAIServicesTests.swift", "Swift", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 16, 25, 120
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/AI/LLMServiceTests.swift", "Swift", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 17, 38, 150
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/AI/MockLLMServices.swift", "Swift", 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 13, 25, 154
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/AI/ModelStoreConfigTests.swift", "Swift", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 27, 22, 119
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/AI/PromptDefenseTests.swift", "Swift", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 16, 8, 49
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/AI/PromptTemplateEngineTests.swift", "Swift", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 25, 34, 177
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/AI/RAGEvaluationServiceTests.swift", "Swift", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 27, 31, 168
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/AI/RAGEvaluator.swift", "Swift", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 15, 9, 56
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/AI/RAGOrchestratorTests.swift", "Swift", 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 31, 24, 161
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/AI/RAG_GoldenSet.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/Base/ServiceContainerTests.swift", "Swift", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 46, 40, 196
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/Graph/GraphLayoutEngineTests.swift", "Swift", 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 20, 34, 215
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/KnowledgeStoreStressTests.swift", "Swift", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 19, 17, 86
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/LocalizationTests.swift", "Swift", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 25, 20, 120
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/NotebookThemeConfigTests.swift", "Swift", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 10, 8, 38
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/Plugins/JavaScriptPluginTests.swift", "Swift", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 24, 19, 133
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/Plugins/PluginMarketServiceTests.swift", "Swift", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 11, 19, 107
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/Plugins/PluginSandboxTests.swift", "Swift", 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 40, 48, 256
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/Plugins/PluginWatchdogTests.swift", "Swift", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 54, 36, 179
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/Security/SecurityExpertTests.swift", "Swift", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 23, 20, 87
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/Security/SecurityIntegrityTests.swift", "Swift", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 33, 20, 106
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/Security/SecurityManagerTests.swift", "Swift", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 24, 21, 100
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/Security/VaultSecurityTests.swift", "Swift", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 35, 37, 180
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/Services/ChatServiceTests.swift", "Swift", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 15, 13, 71
"/Users/constantine/Documents/work/code/projects/ZhiYu/Tests/Unit/Services/CollaborationServiceTests.swift", "Swift", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 32, 43, 193
