"filename", "language", "JSON", "Markdown", "Shell Script", "Python", "TypeScript", "Ruby", "YAML", "Swift", "XML", "JavaScript", "JSON with Comments", "comment", "blank", "total"
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Platforms/watchOS/WatchContentView.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 14, 9, 80
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Platforms/watchOS/WatchDictationView.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 14, 11, 57
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Platforms/watchOS/WatchOCRService.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 7, 3, 18
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Platforms/watchOS/WatchPDFService.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 7, 3, 23
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Platforms/watchOS/WatchPasteboardService.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 7, 3, 19
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Platforms/watchOS/WatchPlatformCapabilities.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 12, 11, 50
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Platforms/watchOS/WatchSpeechService.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 7, 5, 42
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Platforms/watchOS/WatchWatchSyncService.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 11, 10, 64
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Platforms/watchOS/WatchWidgets.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 21, 16, 99
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Resources/AppConfig.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/DesignSystem/DesignSystem.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 659, 0, 0, 0, 82, 56, 797
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/DesignSystem/Styles/ButtonStyles.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 21, 5, 36
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/DesignSystem/Styles/PDFHighlight+UI.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 9, 3, 25
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/DesignSystem/Styles/PageType+UI.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 12, 6, 60
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/DesignSystem/Styles/SynthesisStore+UI.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 9, 3, 25
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/DesignSystem/Themes/ColorSchemeMode.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 10, 6, 43
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/DesignSystem/Themes/ThemeManager.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 22, 15, 102
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/DesignSystem/Tokens/Animations.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 55, 26, 159
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/DesignSystem/Tokens/Colors.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 47, 34, 215
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/DesignSystem/Tokens/IconTokens.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 14, 9, 32
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/DesignSystem/Tokens/Spacing.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 245, 0, 0, 0, 124, 36, 405
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/DesignSystem/Tokens/Typography.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 254, 0, 0, 0, 43, 25, 322
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/DesignSystem/Tokens/ZIndexTokens.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 11, 3, 22
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/Platforms/Adaptor/CrossPlatform.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 15, 7, 58
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/Resources/Welcome_To_ZhiYu.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/Resources/js/marked.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 3, 70
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/Resources/js/mermaid.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2918, 0, 46, 335, 3299
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/Resources/js/pptxgen.bundle.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 4
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Accessibility/AppAccessibilityView.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 19, 11, 93
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Backgrounds/PageBackground.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 5, 17, 148
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Badges/VaultBadge.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 7, 8, 71
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Banners/AIProcessingStatusBanner.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 11, 10, 84
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Buttons/AppButtons.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 22, 17, 168
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Cards/AppCard.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 27, 23, 166
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Cards/StatCard.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 13, 11, 66
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Chips/AppChips.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 24, 20, 163
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Common/ModelColorView.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 11, 4, 38
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Common/TagCapsule.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 11, 4, 43
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Decorators/AppDecorators.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 13, 6, 48
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Editors/EditorComponents.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 19, 19, 206
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Editors/MarkdownEditorView.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 11, 11, 94
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Editors/MarkdownRendererView.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 386, 0, 0, 0, 31, 33, 450
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Editors/MarkdownTextView.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 32, 28, 256
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Editors/MermaidWebView.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 250, 0, 0, 0, 13, 24, 287
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Feedback/AppAILoadingSkeleton.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 10, 10, 92
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Feedback/AppEmptyState.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 25, 23, 196
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Feedback/AppErrorView.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Feedback/AppFeedback.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 30, 33, 208
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Feedback/AppLoadingOverlay.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 27, 14, 139
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Feedback/AppLoadingSkeleton.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Feedback/AppToast.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 27, 21, 165
"/Users/constantine/Documents/work/code/projects/ZhiYu/Sources/Shared/UIComponents/Feedback/AppTooltip.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 19, 11, 154
